model_alias,model_name,dataset_family,encoder_family,objective,method,readout,support_family,method_role,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,selected_rho,selected_C,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hard_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260506,,,,,passed,,0.5148725911096345,0.384692054632682,0.6435318231470075,0.9616741500962156,0.9485025191449552,0.9740012853169031,0.5219204729884471,0.36538461538461536,0.12957023733162285,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260506,,2,,,passed,,0.42924197183482676,0.3045837864345298,0.5524876962024091,0.9596634923767702,0.9467371152860026,0.9720137236118437,0.4382182581906329,0.15384615384615385,0.1276459268762027,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260506,16,,,,passed,,0.4889212027370718,0.36099352462528184,0.6186789137688311,0.9527557112547491,0.9385125772655474,0.9663052440577281,0.4954777070114367,0.36538461538461536,0.12636305323925592,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260506,,,0.009274823873345717,,passed,,0.5102724353023766,0.4522841759339785,0.5625248005309396,0.9063872304731831,0.8917973914519697,0.9200511617450833,0.151035187631495,0.0,0.1725465041693393,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260506,,,,0.1,passed,,0.4640213048650055,0.32759865356100504,0.5996565387531615,0.8556767158434895,0.7922198734586026,0.917019767519454,0.4706078382303231,0.36538461538461536,0.6286080821039127,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260507,,,,,passed,,0.39930513660985417,0.2709975096263233,0.5330870290707365,0.9614644495978685,0.94938208097165,0.972055747865963,0.41362668641020434,0.21153846153846154,0.12123155869146889,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260507,,2,,,passed,,0.016655315490510237,0.012088254381398664,0.021037647655061387,0.03833818522721666,0.027710218081039194,0.05019810149624076,0.01730424476447184,0.0,1.0,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260507,32,,,,passed,,0.40882967898384426,0.27554590149727676,0.5396634753397296,0.958010559036858,0.9449259937278978,0.9707962668907563,0.4216551168890805,0.21153846153846154,0.14239897370109045,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260507,,,0.005555495945128048,,passed,,0.5369843527738265,0.5273664230229799,0.5463135348276131,0.7912123155869146,0.7787411689145793,0.8038937517941959,0.07396870554765292,0.0,0.41757536882617063,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260507,,,,0.1,passed,,0.3900007718933297,0.2653242817547134,0.5196960003558778,0.9610388809394583,0.9488332743554138,0.9717041980119646,0.40173629569906766,0.21153846153846154,0.11802437459910199,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260508,,,,,passed,,0.4179420968695417,0.2894748239449486,0.5449977831824045,0.9562096018157595,0.9407644539861179,0.968896570486962,0.42669796725726317,0.1346153846153846,0.14239897370109045,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260508,,2,,,passed,,0.4179420968695417,0.2894748239449486,0.5449977831824045,0.9562096018157595,0.9407644539861179,0.968896570486962,0.42669796725726317,0.1346153846153846,0.14239897370109045,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260508,16,,,,passed,,0.4358939717914753,0.309433935011914,0.574339123439089,0.9595524744658805,0.9454778701644326,0.972546257946528,0.44521051246904686,0.1346153846153846,0.13470173187940987,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260508,,,0.007315083619536806,,passed,,0.5394996901801434,0.5140708502282059,0.5589529752301414,0.8433722307198895,0.8289222497823224,0.857143562735668,0.09653037622750484,0.0,0.30468248877485565,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260508,,,,0.1,passed,,0.4211403962072998,0.2932938681589151,0.5472833799354316,0.9581955888883407,0.9436395301187833,0.9699976736495631,0.42999582811362197,0.1346153846153846,0.12251443232841565,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260506,,,,,passed,,0.5442748795189642,0.3849401955778298,0.6946041528524846,0.9801043268909249,0.9708293605013659,0.9894583358848923,0.5557328159089645,0.39473684210526316,0.09021601016518424,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260506,,2,,,passed,,0.5442748795189642,0.3849401955778298,0.6946041528524846,0.9801043268909249,0.9708293605013659,0.9894583358848923,0.5557328159089645,0.39473684210526316,0.09021601016518424,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260506,32,,,,passed,,0.48337206360453616,0.3303713768149632,0.6373161173283098,0.9574834481374975,0.9305758445892096,0.9826075281467064,0.49433682879277063,0.3157894736842105,0.3392630241423126,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260506,,,0.00751669285605182,,passed,,0.5026275442533911,0.4450175516441379,0.5497001607856049,0.887656323145857,0.863312797741423,0.9078624965544446,0.10106625798729459,0.0,0.3869123252858958,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260506,,,,10.0,passed,,0.499416811870525,0.3511813651111182,0.6491079848650434,0.9662275128736708,0.9454128739564007,0.9843217139038976,0.5082503066646502,0.3684210526315789,0.13532401524777637,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
